track_id,spotify_id,title,artist,duration_seconds,playlists,bpm,musical_key,camelot,energy,groove,vocal,role,key_confidence,preview_seconds,dynamic_range,harmonic_share,percussive_share,preview_url,analysis_source
spotify-6cQZ6GKDkFDj0iGsjFfyq2,6cQZ6GKDkFDj0iGsjFfyq2,Shake,"Crisologo, ADDAM (BE)",227,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,C minor,5A,0.394,afro,0.235,builder,0.647,15.74,0.1005,0.4028,0.2261,https://p.scdn.co/mp3-preview/992918373e502c6a4ea509c47a285988f9a66522,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-7GBhtxd4eVgA635ozUZSaj,7GBhtxd4eVgA635ozUZSaj,Smile,Lucca Saettone,214,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,E minor,9A,0.696,afro,0.455,bridge,0.668,15.74,0.1392,0.546,0.2468,https://p.scdn.co/mp3-preview/ca6e001d686f3aae6586e13baaeb6d22020f626c,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-1nsGJGpzFoD8O3CkeU8mpj,1nsGJGpzFoD8O3CkeU8mpj,Sueño,DANOR,320,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,F# minor,11A,0.829,afro,0.573,peak,0.589,29.71,0.2883,0.6227,0.1481,https://p.scdn.co/mp3-preview/5a8a09527102fca587f86b354d5d74fad9e17fe1,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-1B27a06OAQx7CS46plr5pU,1B27a06OAQx7CS46plr5pU,Toca Toca,"Sistek, Morry, Fly Project",158,"Techno, Afro, Soul & EDM | Afro Vibezz",125.0,F# minor,11A,0.665,afro,0.602,bridge,0.606,15.49,0.1693,0.6413,0.1805,https://p.scdn.co/mp3-preview/062d24c307978401b48958bbc939a0755c2202e2,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-7Fr8keCD6Ixkd5XCpC6EUv,7Fr8keCD6Ixkd5XCpC6EUv,Yo Te Sigo,Daww,157,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,E major,12B,0.554,afro,0.632,bridge,0.743,15.74,0.1283,0.6607,0.1471,https://p.scdn.co/mp3-preview/bd1aa58454b312735bb55edec72cb2dc30091e09,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-2a2PjEwfXJn861qHXzJQHh,2a2PjEwfXJn861qHXzJQHh,Ze Roberto,Moojo,199,"Techno, Afro, Soul & EDM | Afro Vibezz",117.0,F# minor,11A,0.319,afro,0.274,opener,0.635,16.25,0.0526,0.4278,0.2288,https://p.scdn.co/mp3-preview/0d222c63b54b2af08b8b387c6614880bc60db94a,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-4U8vV8j993rpMdFn4dCn29,4U8vV8j993rpMdFn4dCn29,Sinnerman - 2022 Original Version,Siwell,202,"Techno, Afro, Soul & EDM | Techno Vibezz",125.0,B minor,10A,0.724,techno,0.704,bridge,0.641,29.71,0.3056,0.7074,0.1145,https://p.scdn.co/mp3-preview/1d159842b2c8900f8e82a0b9009e12c2a53180f9,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-1eitq6c6J9H8GyJYQxq6h1,1eitq6c6J9H8GyJYQxq6h1,Close To Me,"DAMIANO, Adrian Saguna",156,"Techno, Afro, Soul & EDM | Techno Vibezz",120.0,D minor,7A,0.695,techno,0.407,bridge,0.638,16.0,0.1683,0.5148,0.166,https://p.scdn.co/mp3-preview/e22dac56f544ae2529d24f3488f97cf2d295dbd7,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-5KhyfCzCrjGfCRKHruIUl7,5KhyfCzCrjGfCRKHruIUl7,Quiver,"Colbora, CVALM, Budai House Clique",229,"Techno, Afro, Soul & EDM | Techno Vibezz",120.0,G major,9B,0.288,techno,0.576,opener,0.662,16.02,0.0687,0.6242,0.141,https://p.scdn.co/mp3-preview/933da3f62bc4ab4da1b7c6ad4b458c6a4332c4b2,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-7crWP5nmpVQunuekqftSEr,7crWP5nmpVQunuekqftSEr,Yapa,"Josef Schumacher, Tobi Xander",210,"Techno, Afro, Soul & EDM | Techno Vibezz",123.0,E minor,9A,0.657,techno,0.343,bridge,0.607,15.61,0.207,0.4728,0.2091,https://p.scdn.co/mp3-preview/8824d51ad85bdc6453a2123cf1237bed7a037bc9,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
