track_id,spotify_id,title,artist,matched,identity_match,source_spotify_id,source_url,bpm,camelot,key_number,mode,energy,danceability,valence,instrumentalness,drive,groove,brightness,warmth,bass_weight,percussive_ratio,genres,duration_ms,search_match_type
spotify-2dyfnrBpCyinfhdZN4IsF3,2dyfnrBpCyinfhdZN4IsF3,Pull Out The Fire,"Kashovski, blackbird",true,exact-id,2dyfnrBpCyinfhdZN4IsF3,https://www.mixgraph.io/tracks/blackbird-pull-out-the-fire,124,6A,7,0,0.829111426,0.745139744,0.492833622,0.813906866,0.64356,0.944663,0.89123,0.258242,0.849586,0.45154,Afro House,348387,strong
spotify-0wGlXAZU2OQlOiCghAOCqm,0wGlXAZU2OQlOiCghAOCqm,Like A Child,"Armin van Buuren, Argy, Marlo Rex",false,,,,,,,,,,,,,,,,,,,,
spotify-1UhzFALHc9kjh3UqRJjR02,1UhzFALHc9kjh3UqRJjR02,WIND,"Argy, Omiki",true,exact-id,1UhzFALHc9kjh3UqRJjR02,https://www.mixgraph.io/tracks/argy-wind,127,10B,2,1,0.688907834,0.67180946,0.453542592,0.603431261,0.531326,0.911571,0.337372,0.519016,0.91237,0.436686,Melodic House & Techno,313700,strong
spotify-4G6RcByL6hwtBJdhJDniFf,4G6RcByL6hwtBJdhJDniFf,MANTRA,"Argy, Omiki, Lell Nahar",true,exact-id,4G6RcByL6hwtBJdhJDniFf,https://www.mixgraph.io/tracks/argy-mantra-extended-mix,128,5A,0,0,0.665911195,0.622165265,0.500868508,0.763050785,0.563007,0.498108,0.671265,0.739471,0.818651,0.420423,Melodic House & Techno | Melodic House,303750,strong
spotify-3AjSfp5FDvwtMU9XBsbS8j,3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,Creeds,false,,,,,,,,,,,,,,,,,,,,
spotify-09CnYHiZ5jGT1wr1TXJ9Zt,09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",true,exact-id,09CnYHiZ5jGT1wr1TXJ9Zt,https://www.mixgraph.io/tracks/tiesto-thank-you-not-so-bad,150,1A,8,0,0.910098381,0.594780637,0.472966717,0.712772679,0.718674,0.20367,0.5291,0.435684,0.864166,0.363455,Mainstage,291000,strong
spotify-25V0TNA8cZLVzLQpHa6rB1,25V0TNA8cZLVzLQpHa6rB1,Freaks,FISHER,false,,,,,,,,,,,,,,,,,,,,
spotify-1KOTY2OVnEgua9eY76WxvT,1KOTY2OVnEgua9eY76WxvT,Azul,Funk Tribu,true,exact-id,1KOTY2OVnEgua9eY76WxvT,https://www.mixgraph.io/tracks/funk-tribu-azul-extended-mix,148,6A,7,0,0.518065765,0.665002217,0.48143736,1,0.568371,0.79694,0.606686,0.579115,0.871608,0.419435,Trance (Main Floor),293892,strong
spotify-5e4II0hLokRNiw4q2uHeL8,5e4II0hLokRNiw4q2uHeL8,Better With You,"Nico Moreno, Novah, KIMI",true,exact-id,5e4II0hLokRNiw4q2uHeL8,https://www.mixgraph.io/tracks/nico-moreno-better-with-you,77,4A,5,0,0.702919596,0.535347517,0.462881277,0.688314155,0.605881,0.589924,0.557663,0.389215,0.90043,0.434458,Hard Dance / Hardcore / Neo Rave | Neo Rave,211928,related
spotify-5JUOGoWTvUtTdedxOjTZ08,5JUOGoWTvUtTdedxOjTZ08,Back Online,ZIAGA,false,,,,,,,,,,,,,,,,,,,,
